Id,coord1,coord2,Serol,Year,Month,Day,Week,Site,Region,MetaRegion,MetaRegionB,Sex,Age,UK_Date,Date_continuous
5535,-8.37289,-75.12467,0,2012,10,25,43,UCA3,Ucayali,Center,Center,F,A,25/10/2012,2012.833333
5536,-8.37289,-75.12467,1,2012,10,25,43,UCA3,Ucayali,Center,Center,M,A,25/10/2012,2012.833333
5537,-8.37289,-75.12467,0,2012,10,25,43,UCA3,Ucayali,Center,Center,F,SA,25/10/2012,2012.833333
5538,-8.37289,-75.12467,0,2012,10,25,43,UCA3,Ucayali,Center,Center,F,A,25/10/2012,2012.833333
5539,-8.37289,-75.12467,0,2012,10,25,43,UCA3,Ucayali,Center,Center,F,A,25/10/2012,2012.833333
5540,-8.37289,-75.12467,0,2012,10,25,43,UCA3,Ucayali,Center,Center,M,A,25/10/2012,2012.833333
5541,-8.37289,-75.12467,0,2012,10,25,43,UCA3,Ucayali,Center,Center,M,A,25/10/2012,2012.833333
5542,-8.37289,-75.12467,0,2012,10,25,43,UCA3,Ucayali,Center,Center,M,A,25/10/2012,2012.833333
5543,-8.37289,-75.12467,0,2012,10,25,43,UCA3,Ucayali,Center,Center,M,A,25/10/2012,2012.833333
5544,-8.37289,-75.12467,1,2012,10,25,43,UCA3,Ucayali,Center,Center,M,A,25/10/2012,2012.833333
5595,-10.22288,-76.25751,1,2012,10,29,44,HUA2,Huanuco,Center,Center,M,A,29/10/2012,2012.833333
5608,-10.22288,-76.25751,1,2012,10,29,44,HUA2,Huanuco,Center,Center,F,A,29/10/2012,2012.833333
5611,-10.22288,-76.25751,0,2012,10,29,44,HUA2,Huanuco,Center,Center,F,J,29/10/2012,2012.833333
5619,-9.96874,-76.06578,0,2012,10,30,44,HUA3,Huanuco,Center,Center,F,A,30/10/2012,2012.833333
5799,-9.14661,-75.79494,1,2013,4,2,14,UCA1,Ucayali,Center,Center,F,A,02/04/2013,2013.333333
5803,-9.14661,-75.79494,0,2013,4,2,14,UCA1,Ucayali,Center,Center,F,A,02/04/2013,2013.333333
5806,-9.14661,-75.79494,1,2013,4,2,14,UCA1,Ucayali,Center,Center,F,A,02/04/2013,2013.333333
5807,-9.14661,-75.79494,0,2013,4,2,14,UCA1,Ucayali,Center,Center,M,A,02/04/2013,2013.333333
5809,-9.14661,-75.79494,0,2013,4,2,14,UCA1,Ucayali,Center,Center,M,SA,02/04/2013,2013.333333
